verb,sentence,verb_idx,label,definition
lent,"Since then , the World Bank alone has lent more than $ 83 billion to already overburdened Third World debtors",8,0,to let out (money) for temporary use on condition of repayment with interest
pumping,"There is , of course , a long - established list of '' have '' and '' have not '' sports in the U.S . , but it is ironic that weightlifting ranks with the '' nots '' at a time when Americans are pumping iron in unprecedented numbers",44,1,"to pour forth, deliver, or draw with or as if with a pump"
sticking,Mr. Hauke says he discovered that in Philadelphia when he smelled glue in a car and later found fresh glue and fibers sticking to his pants,22,0,to hold to something firmly by or as if by adhesion
flew,He flew off in one of his three 707s for long weekends in places like Australia with people like John and Bo Derek,1,0,"to operate (something, such as a balloon, aircraft, rocket, or spacecraft) in flight"
lend,The IDA also will lend $ 17.6 million to the Yemen Arab Republic for agricultural projects,4,0,to let out (money) for temporary use on condition of repayment with interest
lend,"Among short - term interest rates , the rate on federal funds , or reserves banks lend each other overnight , averaged 6.81 % , according to Fulton Prebon -LRB- U.S.A -RRB-",16,0,to let out (money) for temporary use on condition of repayment with interest
pouring,"They are pouring lots of free drinks , especially champagne and liqueurs , at art events in Los Angeles and New York",2,0,to dispense from a container
stepped,Amstrad is one of the last major personal - computer makers to sign such an accord with IBM . IBM has stepped up efforts to enforce its patent rights since launching its new line of PS 2 models in April 1987,21,1,to move by raising the foot and bringing it down elsewhere or by moving each foot in succession
assaulted,"For example , he carefully steered clear of controversies such as New York 's Tawana Brawley case , where some rabble - rousing lawyers are charging that a young black woman was assaulted and raped by whites",32,0,to make an assault on : to attack violently
evaporated,"In race after race , PAC funds evaporated for Republican challengers , even for candidates with political credentials as impressive as those of Mr. Howard , once dubbed '' the conscience of the senate '' for his crusades against state - level corruption",7,1,to pass off or away : disappear
missed,"Re your page - one article '' Out of Orbit : Why a Space Station That Costs $ 25 Billion May Never Leave Earth , '' Sept. 1 : Funding the '' Black Hole '' referenced in the article on the National Aeronautics and Space Administration 's Shuttle and Space Station is similar to funding other '' Black Holes '' that government contractors are trying to fill with overruns , often justified with specious explanations of the causes of missed targets",79,1,"to fail to hit, reach, or contact"
fix,"The evidence showed he had helped fix two juries , and threatened to choke to death a woman witness against him",6,1,"to influence the actions, outcome, or effect of by improper or illegal methods"
struck,Scientists in their labs when the virus struck called reinforcements for help,7,1,to strike at : hit
stepped,"The tacky Formica kiosks from behind which East Berlin border guards stare down at entering visitors , the tinny board - game feel of East German currency , and the vanilla - white paint on the trams combine to make the visitor feel he 's stepped back in time to a hungrier , postwar Germany",45,1,to move by raising the foot and bringing it down elsewhere or by moving each foot in succession
filled,"In a city where night life leans toward kids cruising on weekends , Gene Harris and his cohorts have filled a void and then some",19,1,"make out , complete"
rests,A group of history buffs in this border city is intent on seeing that Pancho Villa rests in peace rather than in pieces,16,1,to remain idle or uncropped
melting,"But the judge 's opinion said that the agitator for the vacuum cleaner '' was melting '' and '' making a loud noise , the foot pedal handle release was breaking and the vacuums were not equipped with a steel - encased motor as had been advertised to the trade , but rather with a less desirable and less reliable '' motor",15,0,to become altered from a solid to a liquid state usually by heat
destroy,"Israel has agreed to develop an interceptor missile for the U.S. that would destroy short - range ground - to - ground missiles , state - owned Israel Aircraft Industries said",13,0,"to ruin the structure, organic existence, or condition of ; also : to ruin as if by tearing to shreds"
withered,But that bid withered after the Oct. 19 stock market crash,3,1,"to lose vitality, force, or freshness"
distributor,The movie producer and distributor has a lot riding on the picture,4,1,to be contingent : depend
rests,"And , like Mr. Bush , he rests his platform on often untested optimism",7,1,to be based or founded
struck,"Like tiny beacons at night , alligators ' eyes reflect a brilliant red when struck by a beam of light",14,0,to fall on
misses,"If the New Orleans Public Service unit misses payment of four consecutive dividends , preferred holders could take control of the company",7,0,"to fail to get, reach, or do something"
flourished,And the black middle class has flourished in the past 20 years as opportunities in various professions have opened up,6,1,to reach a height of development or influence
attacked,"It is to this purpose that SDI laser technology can be uniquely directed , where moving targets can be attacked almost immediately after they are detected",19,0,to set upon or work against forcefully
pump,"A score of 200 indicates an ability to grasp simple scientific principles , such as the heart 's main function is to pump blood , or the moon glows because of reflected light from the sun",22,0,"to pour forth, deliver, or draw with or as if with a pump"
eat,A countywide sewage - treatment plant recently began operations here ; the smell in a nearby neighborhood is so awful that one teen - age girl says she ca n't eat at home,30,0,to take food or a meal
drag,"I jump onto the track , heft my bags to the platform and drag them",13,0,to draw or pull slowly or heavily : haul
missed,But the news media 's frenzied attacks on the Republican vice presidential nominee 's military record have missed the point,17,1,"to fail to hit, reach, or contact"
roll,Agreement was reached that an initiative to roll back and cap property taxes should be placed on the November ballot,7,1,to cause to revolve by turning over and over on or as if on an axis
cooled,"Engineers in uniforms and hardhats are everywhere , many maintaining the technological heart of the levitating train : its roadbed of specially cooled superconducting magnets",22,0,to make cool : impart a feeling of coolness to
flew,"He is now economic adviser to Said bin Ahmed Al - Shanfari , the oil minister of Oman -- a role for which he was handpicked by Mr. Deuss , who flew him to Oman to introduce him to Mr. Al - Shanfari",31,0,to transport by aircraft or spacecraft
roll,"Many American industries suffer a comparative wage disadvantage vs. foreign competitors , but this single factor is hardly prima facie evidence that such companies should roll over and play dead",25,1,"to move onward or around as if by completing a revolution : elapse , pass"
target,"If so , human cells may also make similar proteins -- potentially confusing immune cells that target foreign stress proteins and inducing them to attack a person 's own cells",16,1,to direct or use toward a target
escape,"Limited grew so quickly and was such a hit on Wall Street for so long '' that some of us thought it could escape the current fashion retail slump , but that is n't the case . '",23,1,to get or stay out of the way of : avoid
drank,"So the kids gave Mom a watch , said a couple of nice things , and drank a retirement toast in her honor",16,0,to join in a toast (see toast entry 1 sense 2 ) to
planting,"Mr. Shamir spent Tu Bishvat planting a tree at a Jewish settlement on the occupied West Bank , where he said he expected the settlement movement to grow and flourish",5,0,to put or set in the ground for growth
fixes,"If he eventually wins the war -- curbs Eastern 's costs and fixes Continental 's service problems -- his airlines , with their exceptional size and market dominance , may become for him a kind of mass - production profit machine",12,1,"restore , cure"
cool,"Since the middle of August , there have been some signs that the economy has begun to cool off",17,1,to slow or lessen the growth or activity of
strike,"The union , a Teamsters chapter , voted last month to strike over the contract stalemate , but instead has continued to negotiate sporadically since then with the company , a unit of St. Paul , Minn .- based NWA Inc",11,0,to stop work in order to force an employer to comply with demands
drinking,"Mr. Redford has assembled a great collection of faces , especially the geezers who look like they ' ve spent the past half - century drinking the same cup of coffee with the same old pals",25,0,"swallow , imbibe"
escaped,"The leader of a failed coup in August , who escaped from a Manila prison Saturday , called on his supporters in the military to '' act and act boldly . '",10,0,to get away (as by flight)
cooled,Investor enthusiasm cooled considerably in the wake of reports that Lilco 's demand was a bargaining tactic aimed at getting its talks with the state back in high gear,2,1,to lose ardor or passion
escaped,He escaped with only minor cuts,1,0,to avoid a threatening evil
die,"But thanks to glasnost , people here know that about a dozen people die from mishaps in the factory every year",13,0,to pass from physical life : expire
filled,"An examiner last May described Sasson 's records as unorganized , scattered and incomplete -- '' suitcases . .. filled with canceled checks and bank statements . '",19,0,to put into as much as can be held or conveniently contained
sleep,"But most will think , ' Haven ' t I got enough to worry about already ? ' and fall right back to sleep . '",23,0,to rest in a state of sleep
flew,But I think it would be wise for all Americans to remember that the British were ruthless colonial masters wherever the Union Jack flew . -LRB- We fought the Revolutionary War over the issue . -RRB-/-R,23,0,"to cause to fly, float, or hang in the air"
absorb,"But Korea 's booming economy can absorb them , economists say",6,1,"endure , sustain"
evaporated,Vista Group 's $ 16-a - share offer quickly evaporated in the controversy,9,1,to pass off or away : disappear
fill,"And with no individual or group coming forward to fill the vacuum , '' no one knows how or when order and government will be restored . '",9,1,to supply with a full complement
dragged,"And while profits are booming at Capital Cities ' TV stations , ABC 's loss dragged down the broadcast group",15,1,to draw or pull slowly or heavily : haul
strike,"If Intelsat Director General Dean Burch ca n't strike a deal with Ford Aerospace and its major partners , Alcatel Espace of France and Mitsubishi Electric Co. of Japan , he will negotiate with a French aerospace company , Matra , an Intelsat spokesman said",8,1,to shake (hands) in confirming an agreement
pour,"In light of all this , you might expect the government here to pour millions into science",13,1,to supply or produce freely or copiously
evaporated,But some of the hopeful signs that fostered such optimism evaporated by spring,10,1,to pass off or away : disappear
roll,'' But who 's going to roll the dice ? ',6,0,to cause to begin operating or moving
ate,Plus a man who once ate an entire plane piece by piece,5,0,"to take in through the mouth as food : ingest, chew, and swallow in turn"
evaporated,"Bond yields initially surged , but as stocks crashed inflation fears evaporated and an explosive bond market rally began",11,1,to pass off or away : disappear
flowing,"By 9 a.m . , the cadets are off to class , batlike figures in dark , flowing rain capes , black briefcases clutched with precision in their left hands",17,1,to hang loose and billowing
plowing,"He was tested for drugs after running a stop signal and plowing his freight train into a passenger train , killing 16 people",11,1,"to cut into, open, or make furrows or ridges in with or as if with a plow"
missing,"The big error came in October , 1982 , when the analysts failed to realize they were already in a recession and forecast moderate 2.2 % growth in the inflation - adjusted gross national product in 1982 , completely missing the deep downturn",39,1,"to fail to comprehend, sense, or experience"
stumbled,"For Latin America , which has generally stumbled through years of stagnation or low growth since it became mired in foreign debt in 1982 , Chile 's economic record is enviable",7,1,to walk unsteadily or clumsily
flew,"Secretary of State Shultz recently flew to Geneva , for example , to '' resolve ambiguities '' over INF verification",5,0,to operate or travel in an airplane or spacecraft
evaporate,"While acknowledging that the many hits he has taken have had an impact , Mr. Quayle says it is merely '' a question of when that perception will evaporate . '",28,1,to pass off or away : disappear
killed,"And each , according to lawsuits filed in connection with the accidents , was injured or killed because those belts did not provide the safety that auto makers should have been giving to rear - seat passengers",16,0,to deprive of life : cause the death of
dance,"In his own weird way , Mr. Waters has captured the gleeful garishness of the early ' 60s , when high - school girls wore demure bows in their ratted hair and deadened their lips with palest pink lip gloss -- and believed that racial harmony was inevitable if teens of all flavors could dance together on TV",54,0,to move one's body rhythmically usually to music : to engage in or perform a dance (see dance entry 2 sense 2 )
melted,"On one occasion , intelligence sources say , a rebel band took its Stingers to the Soviet air base at Qandahar , set up shop not far from the end of the runway , blasted a few Soviet planes as they tried to take off laden with fuel and ammunition , then melted into the hills",52,1,to cause to disappear or disperse
drink,"If we hesitate to let teen - agers drink until they 're 21 , why entrust them with shaping the fate of the Republic at 18",8,0,to partake of alcoholic beverages
dragged,"Last week , though , some of them were dragged off a train and prevented from traveling to Moscow to meet with President Reagan",9,0,to bring by or as if by force or compulsion
evaporate,"If dry weather cuts normal production by just three bushels an acre , the nation 's soybean stockpiles could evaporate by next year , says Richard Loewy , senior grain and oilseed analyst at Prudential - Bache Securities Inc",19,1,to diminish quickly
killed,"EMPLOYEE LEASING was supposed to be killed , or at least maimed , by the Tax Reform Act of 1986",6,1,"defeat , veto"
struck,"In addition to the requirement of a warrant , the court 's ruling also struck down the department 's drug - testing program on the ground that the tests themselves do n't reliably measure intoxication at a particular time before their administration",14,1,to attempt to undermine or harm something as if by a blow
pumping,"The oil company disclosed earlier yesterday that last week 's fire had damaged a pumping station and conduits , inhibiting the flow of gasoline product into the Colonial Pipeline",14,0,to work a pump : raise or move a fluid with a pump
pump,"Nevertheless , they continue to pump money into the market",5,1,"to pour forth, deliver, or draw with or as if with a pump"
rain,"For now , he will just reseed the dry wheat fields to soybeans on the chance it will rain",18,0,to send down rain
absorb,"Some diamond analysts said dealers may find it difficult to absorb De Beers latest price increase , particularly since it followed a 10 % rise in prices in early October",10,1,"assume , bear"
filling,"Mr. Cossa 's grain bin may be filling up , but just last month another 100 peasants -- looking for food and security -- moved into the village to escape the fighting in the countryside",7,0,to put into as much as can be held or conveniently contained
pouring,"Here Mr. Brown plays barkeep mentor to Mr. Cruise , the wise old hand who teaches the pup how to succeed at the high - stakes game of pouring brew",28,0,to dispense from a container
grabbing,"By grabbing captive outlets in consuming countries , OPEC members win guaranteed customers",1,1,to obtain without consideration of what is right or wrong
pump,"Indeed , the U.S. maintains that the bases pump many millions of dollars into the Philippine economy , over and above whatever compensation and aid the U.S. gives to Manila",8,1,"to pour forth, deliver, or draw with or as if with a pump"
flying,"The Navy , which began flying the A-6 in 1963 , has 340 in service and is buying more",5,0,"to operate (something, such as a balloon, aircraft, rocket, or spacecraft) in flight"
dissolved,"Afterward , Enrique '' Quique '' Galarza , Cojunto 's lively , goateed , 40-ish lead singer , explained that he and his colleagues recently dissolved a pre - existing group and started Cojunto , so they do n't have any home turf dates either",25,1,to bring to an end : terminate
drag,"In fact , the biggest problem facing a Jimmy Snyder or Gary Hart today is n't the loss of job or candidacy but the likelihood that he will have to drag his offense forever , like a tin bell , all across the land",30,1,to draw or pull slowly or heavily : haul
flourished,And the black middle class has flourished in the past 20 years as opportunities in various professions have opened up,6,1,to reach a height of development or influence
knocked,"'' Jesse 's been knocked out of the box so many times before , '' says City Councilman George Burrell , a Jackson supporter",4,1,"to drive, force, or make by or as if by so striking"
stumble,People have been predicting Paramount would stumble ever since '' Beverly Hills Cop '' in 1984,6,1,to fall or move carelessly
killing,"Blaming faulty lift - slab methods , OSHA has proposed $ 5 million in fines for contractors involved in the L'Ambiance Plaza apartment complex in Bridgeport , Conn . , which collapsed last year , killing 28 people",35,0,to deprive of life : cause the death of
filled,"The airline said its load factor , or the percentage of available seats filled , was 60.4 % in August , unchanged from a year earlier",13,0,to become full
vaporize,But the Baylor Research Foundation in Dallas soon will unveil a technique for using this versatile laser to vaporize tumors without hurting the surrounding healthy cells,18,1,to destroy by or as if by converting into vapor
absorb,The FDIC package would sharply boost the merged institution 's capital and give it a huge cushion to absorb future loan losses,18,1,"assume , bear"
riding,"For example , director Dolores D. Wharton was shown riding a bike",9,0,to travel on
knocked,Thus he notes that when Edward Baring became Baron Revelstoke in 1883 he knocked together two Mayfair mansions to make one urban palace in which he '' entertained in a style as lavish as the furnishing,13,1,to cause to collide
examine,"Digging into the affairs of a hypothetical Jones Corp . , for example , Murphy accountants and investigators in many cases will examine each and every document",22,0,to inspect closely
attacked,"Rioting Iranians attacked the Soviet Union 's Embassy in Tehran , accusing Moscow of supplying Iraq with missiles used in recent raids on Iran",2,0,to set upon or work against forcefully
eat,"'' He just tried to eat the propeller , '' says Mr. Fox",5,0,"to take in through the mouth as food : ingest, chew, and swallow in turn"
assaulting,"Mr. Guez , of Old Westbury , N.Y . , also is currently under indictment and awaiting trial for allegedly assaulting a deputy U.S. marshal who tried to seize Sasson records last year at the posh $ 5.5 million Manhattan townhouse where Mr. Guez once resided",20,0,to make an assault on : to attack violently
stumbles,"Every morning he stumbles into work still a wreck from the drugs and booze of the night before , clearly contemptuous of the drudgery set before him",3,0,to walk unsteadily or clumsily
flourishing,"Boston is flourishing , office space in the South End is still cheaper than in nearby business districts , and deregulation of deposit rates allows banks to compete in new ways",2,1,to reach a height of development or influence
killed,He killed 47 in one month,1,0,to deprive of life : cause the death of
targeted,"But to improve its profitability , it recently targeted mid - sized businesses as well",8,1,to direct or use toward a target
plowed,"He plowed afoot behind a mule , picked cotton and hoed peanuts",1,0,to use a plow
grasp,The new Clore - backed directors viewed their counterparts as stodgy pillars of the San Francisco establishment who failed to grasp KaiserTech 's financial quandary,20,1,to lay hold of with the mind : comprehend
struck,"The ad struck a nerve in a public made more jittery by the obsessed mob that , in Sen. Goldwater 's name , hooted and jeered former President Eisenhower at the Republican National Convention that summer",2,1,to appear to especially as a revelation or as remarkable : impress
stuck,"To avoid being stuck with an outdated backlog , many are waiting until they run out before reordering",3,1,"to become blocked, wedged, or jammed"
escaped,"On Friday , another leader of the failed mutiny against President Aquino 's government escaped prison",14,0,to get away (as by flight)
grasp,"As the struggle enters its final weekend , any one of the top contenders could grasp his way to the top of the greasy pole",15,0,to take or seize eagerly
passed,"Surely , before not too many years have passed , such passages will be read into the record of a congressional committee with utter incredulity all around",8,1,to run the normal course
dancing,"'' And there 's Sam Nunn dancing presumably with his wife , '' she says , squinting hard from her distant perch",6,0,to move one's body rhythmically usually to music : to engage in or perform a dance (see dance entry 2 sense 2 )
examined,The May employment data will be minutely examined by economists who are sifting for clues to the pace of inflation and interest rates,7,0,to inquire into carefully : investigate
examined,They examined the death certificates of all children who were killed when hit by a car in Washington state between 1979 and 1983,1,0,to inspect closely
touched,"The rebuff touched off a panic at British Caledonian , where a bidding war was considered crucial to getting the highest price",2,1,to have an influence on : affect
killed,"Indian troops in Sri Lanka killed 20 Tamil civilians after four soldiers died in an ambush by Tamil rebels , officials in Colombo said",5,0,to deprive of life : cause the death of
attacking,"Preassembling attacking teams on a number of single bases , so that the loss of no one base could mess things up too badly , would help , although it would be a logistical nightmare",1,0,to set upon or work against forcefully
attack,The dissident group plans to attack several provisions that block claimants ' ability to seek compensation from any source other than the special trust fund,5,1,to assail with unfriendly or bitter words
filled,She filled out a report right away,1,1,"make out , complete"
filled,"But this is an institution , filled with patients who ' ve lost their health and some who ' ve lost their minds",6,1,to occupy the whole of
kicked,Then he drop - kicked the ball through some goal posts about 50 yards distant,4,0,to strike out with the foot or feet
attacked,It was one of the congressional spending programs President Reagan attacked in his State of the Union address,10,1,to assail with unfriendly or bitter words
attacks,"And so it is on the grounds of insufficient candor that the resourceful Mr. Goldman , hot to debunk , attacks his subject",20,1,to assail with unfriendly or bitter words
sleep,He takes a sip of brandy and adds an afterthought : '' America should go to sleep for 50 years so we can catch up . ',16,1,to be in a state (as of quiescence or death) resembling sleep
attack,Pakistani cheating could prompt Moscow to declare the accords void or to attack Afghan - resistance camps in Pakistan,12,0,to set upon or work against forcefully
fix,"Now it falls to William H. Spoor , the 65-year - old former chairman , to fix things",16,1,"restore , cure"
filling,"The new chairman has been a board member since Nov. 1 , 1985 , filling a term that expires Aug. 27 , 1990",14,0,to possess and perform the duties of : hold
withered,They remember how the boom in small stocks withered in March under the glare of bull - market publicity ; some portfolio managers back then were complaining that the public excitement over little stocks was a bit overdone,8,1,to cause to wither
smooth,And Bank of Japan Governor Satoshi Sumita said the central bank would '' act appropriately and flexibly '' if needed to smooth currency and price movements,21,1,to press flat
sleep,I would sleep better knowing Dan Quayle was in the National Guard than on the national ticket,2,1,to rest in a state of sleep
drowned,"Meanwhile , GOP nominee George Bush 's day was largely drowned out by union shipyard hecklers at a marine ironworks plant in Portland , Ore",10,1,to cause (a sound) not to be heard by making a loud noise
escaped,Lucky 's widely respected management appeared to have escaped Mr. Skaggs when it announced its $ 61-a - share buy - out plan in April,8,1,to get free of : break away from
slept,"Since the spots ran last year , there have been a flood of requests for the '' room where Tom Bodett slept . '",21,0,to rest in a state of sleep
fly,"And Mr. Gorbachev 's proposal to remove aircraft -- which easily can fly back to Central Europe during a crisis -- would be meaningless unless they are destroyed , Mr. Chalmers says",12,0,to move through the air or before the wind or through outer space
flying,"Those convoys currently protect only Kuwaiti tankers flying U.S. flags , but in Washington , Pentagon officials are discussing whether to extend protection to all neutral ships",7,0,"to cause to fly, float, or hang in the air"
kills,"Centralization , on the other hand , kills motivation and crushes the human spirit",7,1,"annihilate , destroy"
flying,"In ground tests , parts keep fracturing and flying apart",8,0,to move through the air or before the wind or through outer space
stuck,Wordsworth called him the '' marvellous boy '' and the phrase stuck in literary memory like a Homeric tag line,11,1,"to remain in a place, situation, or environment"
escaped,The assailants escaped on a waiting speedboat,2,0,to get away (as by flight)
raining,"Red ink has been raining upon one AI company after another -- including Symbolics Inc . , Teknowledge Inc. and Intellicorp -- and Xerox 's business has been hurt , too",4,1,to fall like rain
kill,"Rather , emphasis should be placed on sophisticated incapacitating agents that do not kill or maim but simply render people unconscious or unable to act",13,0,"to cause the death of a person, animal, or plant"
die,"Traditions die hard , and the Fed has n't shaken its habit of targeting the real economy -- under the notion that inflation , too much money chasing too few goods , is prevented by curtailing the production of goods",1,1,to pass out of existence : cease
rained,Grain and soybean futures prices plunged because it rained in Iowa,8,0,to send down rain
roll,The questions are how many Hispanics will vote and how big a majority Gov. Dukakis can roll up,16,1,to move forward : develop and maintain impetus ; especially : to proceed or progress with notable ease or success
examining,"'' We tried to protect as many people as we could , examining every job , every structure and every expense , '' Mr. Traub said",12,0,to inspect closely
targeted,Mr. Lee has targeted three of the former Japanese banks,3,1,to direct or use toward a target
melted,The reasoning was that containers composed of more than one plastic ca n't be melted down and remade into the same types of containers,14,0,to become altered from a solid to a liquid state usually by heat
miss,"'' The U.S. could miss the boat if they play politics at the ADB and do n't put up the bucks , '' says an ADB executive who declined to be identified",4,1,to fail to perform or attend
stepped,Israel 's army has stepped up training for poison - gas attacks ; troops now carry antidotes and gas masks that can be fitted with prescription lenses,4,1,to move by raising the foot and bringing it down elsewhere or by moving each foot in succession
fly,"It 's a great fare , but there 's a slight problem : Eastern does n't fly that route",16,0,to operate or travel in an airplane or spacecraft
fly,Others fly them out as personal luggage,1,0,to transport by aircraft or spacecraft
absorbed,"As Eliot wrote : '' In a warm haze , the sultry light is absorbed , not refracted , by grey stone . . . . '' and flowers do indeed '' sleep in empty silence . '",14,0,to transform (radiant energy) into a different form especially with a resulting rise in temperature
dancing,"This three - part '' Nature '' miniseries presents the history of the area and its amazingly rich flora and fauna , including bat - eared foxes , dancing ostriches , shrimp - eating flamingos and leaping bush babies",28,0,to move one's body rhythmically usually to music : to engage in or perform a dance (see dance entry 2 sense 2 )
die,"'' While physicians should never directly cause death , they must always act in the best interest of their patients and that sometimes includes allowing them to die , '' Dr. Sammons said in a statement",27,0,to pass from physical life : expire
stick,"He did n't stick around to explain why , but the Soviet vaulters later complained of tricky winds , and Bubka blamed them for his passing on the 20-foot barrier",3,1,"to remain in a place, situation, or environment"
fixing,"Bush and Dukakis should be asked to clarify where they stand on this important distinction , for it 's clear that the real work of fixing the schools will fall to local politicians and school boards",25,1,"repair , mend"
rained,"In fact , the current drought - driven frenzy in commodity prices is already tantalizing traders with reminders of the windfall profits that rained on them when commodity prices soared in 1973 to record levels and rebounded again in 1977",23,1,to fall like rain
dissolve,"And its matter - of - fact citizens are taking the long view - as befits a place where , in the words of Mr. Dyer 's Boonville history , '' past and present slowly dissolve one into the other . '",35,1,to change by a dissolve
evaporating,Weather is dominating the soybean market earlier than usual this year because the nation 's once - burdensome stockpiles are rapidly evaporating,21,1,to diminish quickly
flourishes,"A giant bank , once rumored to be failing , suddenly flourishes",11,1,to achieve success : prosper
riding,"A typical 10-hour day : three hours of gymnastics and diving from 7 a.m. to 10 a.m . ; an hour of taped replays starting at 4 p.m . ; a medley of boxing , basketball and volleyball from 7:30 p.m. to midnight ; then , to wrap things up , tennis or horseback riding from 12:30 a.m. to 2:30 a.m",54,0,to sit and travel on the back of an animal that one directs
missing,"And a lot of WWOR viewers may have deduced something else was missing when , halfway up the highway , Marion was suddenly driving a different car with license plates from a different state",12,1,"to fail to get, reach, or do something"
kill,"As Bismarck wrote more than a century ago : '' I , who prepare to go to war , kill thousands , the Christians in the name of God kill millions . '",29,0,to deprive of life : cause the death of
target,"The agency uses company - kept injury records to target inspections to work sites where injuries are most likely to occur , a system that Rep. Lantos contends provides irresponsible firms '' a premium for cheating , '' but that OSHA believes is the most effective use of its resources",9,1,to direct or use toward a target
stick,But yesterday Mr. Lawson said it would be '' pretty good anti - inflationary discipline '' if the pound '' can stick close '' to a level against the West German currency,21,1,to keep close in a chase or competition
escape,"The amendment did n't cover the National Security Council -LRB- a fact that continues to escape Lawrence Walsh -RRB- , so helping the Contras fell to a few workaholics in the Old Executive Office Building",15,1,to fail to be noticed or recallable by
drag,"The OSU sled 's No . 1 advantage , he says , is an aerodynamic shape that reduces drag 20 % to 25 %",18,0,the retarding force acting on a body (such as an airplane) moving through a fluid (such as air) parallel and opposite to the direction of motion
riding,"Though riding the luge is a fairly dangerous sport , the scariest moment for the Philippines ' Mr. Ocampo came a week before the Olympics when his credentials to participate were temporarily blocked by Philippine bureaucrats",1,0,to travel on
fill,"To keep from wresting top executives from the driver 's seat , Runzheimer says , more companies are trying to fill fleets with less expensive models",20,1,to make full
withered,"In 1962 , when a fierce drought withered even the thorn trees , he sold his emaciated camels and moved , along with many others , to Tamanrasset",7,0,to cause to wither
targeted,"By hitching a ride on these proteins , drugs can be very narrowly targeted to attack diseased cells , Mr. McCamant says",13,1,to direct or use toward a target
absorbed,"Nearly four - fifths of this increase would be absorbed by the rising cost of Social Security benefits and the cost of keeping outlays for defense and education even with inflation , as Mr. Bush has proposed",9,1,"assume , bear"
kicked,"Meetings degenerated into shouting matches ; after one , a copywriter kicked a hole in a wall",11,0,to strike out with the foot or feet
stumbled,"The government 's economic program , introduced with much enthusiasm at the beginning of the year , has stumbled clumsily from the start",18,1,to trip in walking or running
flourish,"Because of continuing uncertainties associated with the stock market and inflation , he said consumer demand for CDs will flourish if interest rates get nearer to 10 %",19,1,to reach a height of development or influence
evaporate,But the suit says such rights '' evaporate '' with the sale of his holding,7,1,to pass off or away : disappear
absorbed,"'' In a small company , the CEO and his people become so absorbed in the Eleven that it dominates the existence of the company . '",13,1,to engage or engross wholly
die,"Nothing dates faster than a business book because trends change , statistics lose meaning , companies get liquidated , executives get the ax , and people die",26,0,to pass from physical life : expire
escaped,The Swiss chemical companies have n't escaped profit slowdowns or declines in recent years,6,1,to get or stay out of the way of : avoid
absorbing,"Remics are absorbing the bulk of newly issued mortgage securities as institutional buyers , such as thrifts and insurance companies , prefer the more tailored investment features of structured mortgage securities to the greater payment uncertainties of ordinary pass - throughs issued by Ginnie Mae , Freddie Mac and Fannie Mae",2,1,"assume , bear"
grasp,Authors are starting to grasp this simple fact,4,1,to lay hold of with the mind : comprehend
touched,"The New York Stock Exchange composite index also touched a high since the crash but pulled back to close at 144.82 , up 0.28 but below its Oct. 21 level of 145.02",8,1,to get to : reach
fixed,"But the commission 's most controversial recommendation by far would remove the FAA from the Transportation Department and re - establish it as the independent and renamed Federal Aviation Authority , complete with an administrator and a '' safety czar , '' both of whom would serve fixed terms of seven years",47,0,"to become firm, stable, or fixed"
evaporated,But the euphoria soon evaporated,4,1,to pass off or away : disappear
attacking,The view contradicts administration claims that Moscow knew it was attacking a non - military target,10,0,to set upon or work against forcefully
kicked,His boss saw it as insubordination and kicked Mr. Arnold out,7,1,to remove from a position or status
strike,Where will he strike next,3,0,to strike at : hit
sticking,Yesterday 's bond and yen sell - off in Japan occurred after central bank officials told local reporters the bank was sticking to that position,21,1,to hold fast or adhere resolutely : cling
touch,"He can be oblivious to how calculated he sometimes appears , yet he can also touch people , as when , at the close of the Louisville rally Saturday , he brought forward Georgia Powers , a black Kentucky state senator",15,1,to move to sympathetic feeling
rolling,"The attorney general offices of Texas , New York , California , Massachusetts and Missouri asked American Suzuki Motor Corp. to counter allegations that the four - wheel - drive vehicle is prone to rolling over when taking sharp turns at fast speeds",34,0,to turn over and over
kick,"'' You could n't give the shares away if you tried , '' adds Vahid Fathi , an analyst with Prescott , Ball & Turben Inc. Mr. Munk himself recalls , '' I had many people kick me out . '",36,1,to remove from a position or status
lend,"By January 1993 , societies would be able to lend 25 % of their assets for such nontraditional purposes as commercial property development and unsecured personal loans",9,0,to let out (money) for temporary use on condition of repayment with interest
dancing,"Plucking bonbons with a pinkie in the air , or daintily miming a billiard shot , he seems almost to be dancing through the role , a rosy cherub in grownup clothing",21,0,to move one's body rhythmically usually to music : to engage in or perform a dance (see dance entry 2 sense 2 )
wither,"Mr. Borge ridicules anti - government marchers and muses about establishing a '' museum of political parties '' to show future generations what some of the more - conservative groups were like , since he expects them to wither under the forces of history",38,1,"to lose vitality, force, or freshness"
missing,"There were n't any American casualties reported , but a U.S. attack helicopter carrying two crew members was missing",18,0,"to fail to get, reach, or do something"
grasp,Some executives never seem to grasp this precept,5,1,to lay hold of with the mind : comprehend
examined,"Although SEC investigators have interviewed Mr. Salsbury , it 's not clear what role if any he played in events being examined in the current probe",21,1,to inquire into carefully : investigate
sticks,"If that figure sticks , the Air Force might be able to avoid further contract adjustments , sources say",3,1,"to remain in a place, situation, or environment"
kill,"According to Mr. Gage , Mr. Mulheren later told police , several of whom are friends of his , that he would kill Messrs",22,0,to deprive of life : cause the death of
